AuthorID,Author,Date,Content,Attachments,Reactions
"718617143410819102","Qwerty#8865","25-Jul-20 10:25 PM","http://logs.tf/2636435","",""
"718617143410819102","Qwerty#8865","09-Aug-20 01:10 AM","http://logs.tf/2651296","",""
"718617143410819102","Qwerty#8865","09-Aug-20 01:50 AM","http://logs.tf/2651319","",""
"718617143410819102","Qwerty#8865","09-Aug-20 12:21 PM","http://logs.tf/2651596","",""
"718617143410819102","Qwerty#8865","09-Aug-20 01:24 PM","http://logs.tf/2651636","",""
"718617143410819102","Qwerty#8865","10-Aug-20 09:19 PM","http://logs.tf/2653026","",""
"718617143410819102","Qwerty#8865","10-Aug-20 09:19 PM","http://logs.tf/2652999","",""
"534651326202904577","mayonnaise bot#9202","10-Aug-20 09:58 PM","http://logs.tf/2653065#76561198851095301","",""
"718617143410819102","Qwerty#8865","21-Aug-20 10:22 PM","http://logs.tf/2663610","",""
"718617143410819102","Qwerty#8865","21-Aug-20 10:22 PM","http://logs.tf/2663564","",""
"229012454892503040","shagstergod#5636","02-Sep-20 10:59 PM","http://logs.tf/2675585#76561198103084817","",""
"644333502870978564","payload-neo#6486","02-Sep-20 10:59 PM","","https://cdn.discordapp.com/attachments/736465109345370223/750912799051612190/file.jpg",""
"229012454892503040","shagstergod#5636","02-Sep-20 10:59 PM","http://logs.tf/2675631#76561198103084817","",""
"644333502870978564","payload-neo#6486","02-Sep-20 10:59 PM","","https://cdn.discordapp.com/attachments/736465109345370223/750912827778269184/file.jpg",""
"548021234823331842","Eirudy#6764","25-Sep-20 11:19 PM","http://logs.tf/2698234","",""
"644333502870978564","payload-neo#6486","25-Sep-20 11:19 PM","","https://cdn.discordapp.com/attachments/736465109345370223/759252850307629066/file.jpg",""
"548021234823331842","Eirudy#6764","25-Sep-20 11:20 PM","http://logs.tf/2698185","",""
"644333502870978564","payload-neo#6486","25-Sep-20 11:20 PM","","https://cdn.discordapp.com/attachments/736465109345370223/759253024383959040/file.jpg",""
"302258364421767172","mobe#8593","18-Oct-20 10:23 PM","http://logs.tf/2720728#76561198121633820","",""
"644333502870978564","payload-neo#6486","18-Oct-20 10:23 PM","","https://cdn.discordapp.com/attachments/736465109345370223/767573516596936704/file.jpg",""
"302258364421767172","mobe#8593","18-Oct-20 11:03 PM","http://logs.tf/2720817#76561198121633820","",""
"644333502870978564","payload-neo#6486","18-Oct-20 11:03 PM","","https://cdn.discordapp.com/attachments/736465109345370223/767583711524552745/file.jpg",""
"178992044532826112","Kibble Bites#2639","18-Oct-20 11:03 PM","thank","",""
"302258364421767172","mobe#8593","18-Oct-20 11:30 PM","http://logs.tf/2720847#76561198121633820","",""
"644333502870978564","payload-neo#6486","18-Oct-20 11:30 PM","","https://cdn.discordapp.com/attachments/736465109345370223/767590519193731082/file.jpg",""
"548021234823331842","Eirudy#6764","09-Nov-20 11:07 PM","http://logs.tf/2746041","",""
"644333502870978564","payload-neo#6486","09-Nov-20 11:07 PM","","https://cdn.discordapp.com/attachments/736465109345370223/775572218319077406/file.jpg",""
"548021234823331842","Eirudy#6764","09-Nov-20 11:34 PM","http://logs.tf/2746074","",""
"644333502870978564","payload-neo#6486","09-Nov-20 11:34 PM","","https://cdn.discordapp.com/attachments/736465109345370223/775579230817353778/file.jpg",""
"548021234823331842","Eirudy#6764","09-Nov-20 11:56 PM","http://logs.tf/2746095","",""
"644333502870978564","payload-neo#6486","09-Nov-20 11:56 PM","","https://cdn.discordapp.com/attachments/736465109345370223/775584739800121344/file.jpg",""
"548021234823331842","Eirudy#6764","11-Nov-20 08:50 PM","http://logs.tf/2747820","",""
"644333502870978564","payload-neo#6486","11-Nov-20 08:50 PM","","https://cdn.discordapp.com/attachments/736465109345370223/776262645665759273/file.jpg",""
"548021234823331842","Eirudy#6764","11-Nov-20 09:25 PM","http://logs.tf/2747873","",""
"644333502870978564","payload-neo#6486","11-Nov-20 09:25 PM","","https://cdn.discordapp.com/attachments/736465109345370223/776271464965996564/file.jpg",""
"202941906672549889","shelz0r#4841","14-Nov-20 10:57 PM","https://logs.tf/2750920","",""
"644333502870978564","payload-neo#6486","14-Nov-20 10:58 PM","","https://cdn.discordapp.com/attachments/736465109345370223/777381873705025566/file.jpg",""
"202941906672549889","shelz0r#4841","14-Nov-20 10:58 PM","https://logs.tf/2750973","",""
"644333502870978564","payload-neo#6486","14-Nov-20 10:58 PM","","https://cdn.discordapp.com/attachments/736465109345370223/777381979238563840/file.jpg",""
"202941906672549889","shelz0r#4841","14-Nov-20 10:58 PM","https://logs.tf/2751077","",""
"644333502870978564","payload-neo#6486","14-Nov-20 10:58 PM","","https://cdn.discordapp.com/attachments/736465109345370223/777382051010707476/file.jpg",""
"548021234823331842","Eirudy#6764","14-Nov-20 11:35 PM","http://logs.tf/2751129","",""
"644333502870978564","payload-neo#6486","14-Nov-20 11:35 PM","","https://cdn.discordapp.com/attachments/736465109345370223/777391352518410250/file.jpg",""
"548021234823331842","Eirudy#6764","18-Nov-20 08:42 PM","http://logs.tf/2754724","",""
"644333502870978564","payload-neo#6486","18-Nov-20 08:42 PM","","https://cdn.discordapp.com/attachments/736465109345370223/778797421034864650/file.jpg",""
"202941906672549889","shelz0r#4841","23-Nov-20 08:44 PM","https://logs.tf/2759586","",""
"644333502870978564","payload-neo#6486","23-Nov-20 08:44 PM","","https://cdn.discordapp.com/attachments/736465109345370223/780609779654852668/file.jpg",""
"202941906672549889","shelz0r#4841","30-Nov-20 11:03 PM","https://logs.tf/2766052","",""
"644333502870978564","payload-neo#6486","30-Nov-20 11:03 PM","","https://cdn.discordapp.com/attachments/736465109345370223/783181348982358016/file.jpg",""
"202941906672549889","shelz0r#4841","30-Nov-20 11:03 PM","https://logs.tf/2766098","",""
"644333502870978564","payload-neo#6486","30-Nov-20 11:03 PM","","https://cdn.discordapp.com/attachments/736465109345370223/783181437238378526/file.jpg",""
"202941906672549889","shelz0r#4841","30-Nov-20 11:04 PM","https://logs.tf/2766129","",""
"644333502870978564","payload-neo#6486","30-Nov-20 11:04 PM","","https://cdn.discordapp.com/attachments/736465109345370223/783181594479296512/file.jpg",""
"202941906672549889","shelz0r#4841","30-Nov-20 11:04 PM","https://logs.tf/2766166","",""
"644333502870978564","payload-neo#6486","30-Nov-20 11:04 PM","","https://cdn.discordapp.com/attachments/736465109345370223/783181720559681536/file.jpg",""
"202941906672549889","shelz0r#4841","03-Dec-20 12:31 AM","https://logs.tf/search/log?s=na.serveme.tf+%23370867","",""
"548021234823331842","Eirudy#6764","06-Dec-20 09:17 PM","http://logs.tf/2771511","",""
"644333502870978564","payload-neo#6486","06-Dec-20 09:17 PM","","https://cdn.discordapp.com/attachments/736465109345370223/785329083890008094/file.jpg",""
"353747134710939648","Rishi is Here#6891","06-Dec-20 09:22 PM","me when i go to the naga medic school","https://cdn.discordapp.com/attachments/736465109345370223/785330266083688458/unknown.png","🚬 (2)"
"548021234823331842","Eirudy#6764","06-Dec-20 09:23 PM","(Sponsored by a 60 FUCKING MINUTE Villa game)","",""
"484929748905099264","Blu2th1000#0753","06-Dec-20 09:24 PM","34 minute villa game with still high dpm","",""
"484929748905099264","Blu2th1000#0753","06-Dec-20 09:24 PM","how","",""
"498198995672236082","『ᴎioƆ』#5604","06-Dec-20 09:26 PM","fraggers","",""
"615395075123445772","Naga Trinity#9698","06-Dec-20 09:27 PM","@Rishi is Here 2 drops?","",""
"615395075123445772","Naga Trinity#9698","06-Dec-20 09:28 PM","Clearly you didn't study well enough","",""
"615395075123445772","Naga Trinity#9698","06-Dec-20 09:28 PM","Get those numbers up","",""
"353747134710939648","Rishi is Here#6891","06-Dec-20 09:30 PM","i couldnt get enough ubers to drop","",""
"353747134710939648","Rishi is Here#6891","06-Dec-20 09:30 PM","im sorry teacher 😔","",""
"353747134710939648","Rishi is Here#6891","06-Dec-20 09:30 PM","i didnt build fast enough","",""
"548021234823331842","Eirudy#6764","06-Dec-20 09:30 PM","@Naga Trinity wanna play 4s again with me as the enemy scout /s","",""
"548021234823331842","Eirudy#6764","08-Dec-20 08:34 PM","http://logs.tf/2773236","",""
"644333502870978564","payload-neo#6486","08-Dec-20 08:34 PM","","https://cdn.discordapp.com/attachments/736465109345370223/786043018041098262/file.jpg",""
"548021234823331842","Eirudy#6764","08-Dec-20 08:34 PM","mfw we lost","",""
"498198995672236082","『ᴎioƆ』#5604","08-Dec-20 08:34 PM","O-O","",""
"548021234823331842","Eirudy#6764","08-Dec-20 09:18 PM","http://logs.tf/2773273","",""
"644333502870978564","payload-neo#6486","08-Dec-20 09:18 PM","","https://cdn.discordapp.com/attachments/736465109345370223/786054196545060864/file.jpg",""
"178992044532826112","Kibble Bites#2639","08-Dec-20 09:59 PM","Absol's name though","",""
"548021234823331842","Eirudy#6764","08-Dec-20 09:59 PM","lmao","",""
"465982324622884876","absol#9292","09-Dec-20 01:38 AM","hey ill take 5 kills","",""
"465982324622884876","absol#9292","09-Dec-20 01:38 AM","considering","",""
"465982324622884876","absol#9292","09-Dec-20 01:39 AM","i couldnt use my mouse to look around","",""
"615395075123445772","Naga Trinity#9698","10-Dec-20 09:38 PM","https://logs.tf/2774910#76561198834544509","",""
"644333502870978564","payload-neo#6486","10-Dec-20 09:38 PM","","https://cdn.discordapp.com/attachments/736465109345370223/786783927599235112/file.jpg",""
"232669384282341377","Acid#5432","10-Dec-20 10:25 PM","https://logs.tf/2774979#76561198154593997","",""
"644333502870978564","payload-neo#6486","10-Dec-20 10:25 PM","","https://cdn.discordapp.com/attachments/736465109345370223/786795734010691624/file.jpg",""
"178992044532826112","Kibble Bites#2639","10-Dec-20 10:26 PM","The longest Villa Game vs the shortest Villa game.","",""
"202941906672549889","shelz0r#4841","10-Dec-20 10:29 PM","Congrats, we just had our 100th unique pug player","",""
"178992044532826112","Kibble Bites#2639","10-Dec-20 10:29 PM","🥳","",""
"484929748905099264","Blu2th1000#0753","10-Dec-20 10:29 PM","nice!","",""
"202941906672549889","shelz0r#4841","14-Dec-20 10:51 PM","https://logs.tf/2778410","",""
"644333502870978564","payload-neo#6486","14-Dec-20 10:51 PM","","https://cdn.discordapp.com/attachments/736465109345370223/788251802432831498/file.jpg",""
"202941906672549889","shelz0r#4841","14-Dec-20 10:51 PM","https://logs.tf/2778474","",""
"644333502870978564","payload-neo#6486","14-Dec-20 10:51 PM","","https://cdn.discordapp.com/attachments/736465109345370223/788251838469373952/file.jpg",""
